,Handle,Date,Compound,Positive,Neutral,Negative,Tweet Text,Tweets Ago
0,CNN,Sat Apr 28 06:01:02 +0000 2018,0.4588,0.125,0.875,0.0,"NASA is going to Mars again, this time with the first spaceship dedicated to digging deep below the surface to find… https://t.co/uIH7xsWR2v",1
1,CNN,Sat Apr 28 05:46:00 +0000 2018,-0.228,0.147,0.655,0.197,"Orange is comforting. 
Pink makes us less violent. 

The psychology of color: https://t.co/FMeiwT4rwA https://t.co/lfsHdeHxzI",2
2,CNN,Sat Apr 28 05:31:01 +0000 2018,0.2732,0.162,0.723,0.115,A young US serviceman injured in Afghanistan was the recipient of the world's first successful total penis and scro… https://t.co/oFMuRbK1Xb,3
3,CNN,Sat Apr 28 05:16:00 +0000 2018,-0.3612,0.0,0.884,0.116,"Nickelodeon is reviving trivia game show ""Double Dare"" for a new generation of kids to compete in messy physical ch… https://t.co/sCERaakGAi",4
4,CNN,Sat Apr 28 05:01:06 +0000 2018,0.0,0.0,1.0,0.0,"While this teacher was working her second job as a cashier, a customer slipped her an envelope. When she opened it,… https://t.co/HpzJ7XyrFd",5
5,CNN,Sat Apr 28 04:46:05 +0000 2018,-0.7506,0.0,0.67,0.33,"Fearing that climate change is hurting their sport, Winter Olympians take on politics https://t.co/9eEe59WpGx https://t.co/ZfBdTgcZBZ",6
6,CNN,Sat Apr 28 04:31:07 +0000 2018,0.0516,0.098,0.812,0.09,"Exposure to the kind of blue light emitted by outdoor LEDs, smartphones and tablets may increase your risk of breas… https://t.co/JQ2FYeaqWE",7
7,CNN,Sat Apr 28 04:16:04 +0000 2018,0.0,0.0,1.0,0.0,History was made Friday when Kim Jong Un became the first North Korean leader to cross into South Korean territory… https://t.co/wQ0jonYk04,8
8,CNN,Sat Apr 28 04:01:04 +0000 2018,0.3034,0.13,0.87,0.0,EXCLUSIVE: The NRA is setting aside years of documents regarding its ties to a Kremlin-linked banker… https://t.co/xhs1JS1TjY,9
9,CNN,Sat Apr 28 03:46:03 +0000 2018,0.0,0.0,1.0,0.0,Arizona's only two black state legislators were publicly rebuked after they expressed concern over a colleague usin… https://t.co/Oex3COW0wn,10
10,CNN,Sat Apr 28 03:31:07 +0000 2018,0.4404,0.162,0.838,0.0,FIFA directed attention to the organization's ethics rules following President Donald Trump's tweet supporting the… https://t.co/thSjy2uSh1,11
11,CNN,Sat Apr 28 03:17:51 +0000 2018,-0.4215,0.0,0.851,0.149,This award-winning photo of an anteater creeping toward a glowing termite mound was disqualified after judges concl… https://t.co/my31vI7spK,12
12,CNN,Sat Apr 28 03:03:24 +0000 2018,0.5542,0.194,0.739,0.068,"RT @AC360: ""With little to no money or food, she has tried to protect them [her children], in search of a better life."" - CNN's @leylasanti…",13
13,CNN,Sat Apr 28 02:54:23 +0000 2018,0.0,0.0,1.0,0.0,"Gabriela Hernandez, who is pregnant, and her two boys joined the ""migrant caravan"" of travelers across Mexico towar… https://t.co/w69CpWBrqg",14
14,CNN,Sat Apr 28 02:46:04 +0000 2018,-0.5859,0.0,0.745,0.255,These are the people our nonsense US border policy ignores | By @wkamaubell via @CNNOpinion https://t.co/HziZuiIh6w https://t.co/afeZDzfhun,15
15,CNN,Sat Apr 28 02:42:11 +0000 2018,-0.128,0.12,0.737,0.143,"""We're stronger together"": After a football accident, doctors told him he'd never walk again. Seven years later, hi… https://t.co/KVxRZQ3rpo",16
16,CNN,Sat Apr 28 02:36:06 +0000 2018,0.0,0.0,1.0,0.0,"A main proponent of the Russia sanctions law known as the Magnitsky Act says Natalia Veselnitskaya, the Russian law… https://t.co/PuKOUHKaWD",17
17,CNN,Sat Apr 28 02:31:07 +0000 2018,-0.7717,0.0,0.739,0.261,An investigation into the death of a mentally ill man who was repeatedly tased in his shower by two West Milwaukee… https://t.co/2R2uyUZE9e,18
18,CNN,Sat Apr 28 02:21:03 +0000 2018,0.0,0.0,1.0,0.0,This Donald Trump answer on Russian collusion is a real doozy | Analysis by @CillizzaCNN https://t.co/yZS5aUUHyG https://t.co/bJvExMfwcQ,19
19,CNN,Sat Apr 28 02:11:04 +0000 2018,0.0,0.0,1.0,0.0,Hush money deals are business as usual for Stormy Daniels' ex-attorney https://t.co/lXlEkqzseG https://t.co/ILlawTiilb,20
